Jamie Zawinski,78.8,81.0,77.3,80.0,80.0,77.0
Adam Douglas,86.2,69.0,77.8,81.0,87.5,88.0
Wallace Steven,66.2,68.0,91.3,78.6,80.3,86.4
Paul Wolfowitz,98.8,95.0,89.3,93.0,88.0,90.4
Henry Williamson,88.8,91.0,87.8,92.4,79.8,89.5
Margie Rodriguez,70.5,89.0,68.3,92.0,69.0,80.0
Joseph Manuel,80.3,77.5,79.4,92.0,83.0,91.0
Seth Pereira,93.8,95.0,91.3,92.0,92.0,94.0
Berndon Markus,79.6,93.0,88.3,92.0,82.0,85.0
Camelia Peterson,29.5,38.0,48.3,62.0,42.0,35.0
Oliver Jones,67.6,45.0,70.3,66.0,70.0,67.0
Maria Federer,78.6,75.0,81.3,63.0,45.0,80.0
Robert Meder,68.6,55.6,71.8,64.6,55.3,73.1
Charles Modera,78.6,85.1,74.3,66.6,81.3,70.2
Arun Malhotra,75.1,78.3,80.5,56.8,78.3,74.5
Joel Perez,89.1,80.3,83.5,86.9,88.3,84.5
Soles Azuri,93.2,91.0,89.0,96.3,88.0,98.4
Dennis Hutchingson,58.0,45.0,34.0,40.0,40.0,48.0
Susan Johnson,78.9,69.6,89.0,84.2,72.1,80.2
Raj Prakash,78.5,89.2,90.1,67.0,78.5,80.5
Charles Bowen,76.3,56.8,90.2,87.4,80.6,76.8
Jack Woods,78.3,77.5,98.0,89.0,69.0,87.0
Binal Patel,89.0,67.8,88.8,87.9,86.8,90.0
Nancy Coulton,78.7,88.0,93.8,87.5,78.8,90.2
Sureka Bandara,90.7,91.2,78.4,90.4,92.0,94.7
